homeShotsTotalFT,awayShotsTotalFT,homeShotsOnTargetFT,awayShotsOnTargetFT,homeInterceptionsFT,awayInterceptionsFT,homeTacklesTotalFT,awayTacklesTotalFT,homeTackleSuccessFT,awayTackleSuccessFT,homeFoulsCommitedFT,awayFoulsCommitedFT,homePassesKeyFT,awayPassesKeyFT,homePassSuccessFT,awayPassSuccessFT,homePossessionFT,awayPossessionFT,homeDribbleSuccessFT,awayDribbleSuccessFT,homeAerialsTotalFT,awayAerialsTotalFT,homeCornersTotalFT,awayCornersTotalFT,division
13,9,2,2,10,18,29,20,75.24,76.47,13,25,9,7,80.29,75.17,56.76,43.24,50,43.75,18,18,3,8,Serie_A
16,20,8,9,23,22,21,20,83.33,80.56,9,6,11,15,63.46,75.79,43.19,56.81,38.89,33.33,41,41,7,7,Serie_A
8,23,4,9,8,10,34,27,61.11,47.22,14,12,6,17,75.54,76.34,45.03,54.97,70.24,54.76,10,10,7,3,Serie_A
17,10,9,2,16,31,38,28,45,55,19,20,13,7,62.43,66.17,47.92,52.08,55.56,72.92,50,50,3,3,Serie_A
18,12,7,4,18,29,29,32,64.29,58.64,8,17,11,10,80.11,46.55,67.92,32.08,52.27,52.94,33,33,7,6,Serie_A
24,7,7,5,33,29,24,41,70.18,53.23,13,8,20,5,75.99,59.59,54.98,45.02,68.94,63.64,33,33,8,5,Serie_A
14,16,2,7,9,38,24,28,61.36,57.97,9,16,12,14,73.04,72.08,56.77,43.23,80.56,50,43,43,4,5,Serie_A
11,12,3,1,15,13,18,15,43.33,53.33,19,21,7,9,66.35,68.14,48.69,51.31,63.64,65.38,24,24,4,2,Serie_A
15,5,7,1,10,12,22,23,76.32,60.53,9,17,11,2,81.58,68.66,55.5,44.5,62.5,50,19,19,1,2,Serie_A
13,5,1,1,22,14,39,24,85.94,86.51,22,13,11,4,62.06,58.32,50.89,49.11,29.17,26.32,50,50,7,4,Serie_A
6,9,5,1,25,17,19,27,65.62,75,24,17,4,5,66.33,68.07,44.51,55.49,59.09,42.31,26,26,3,5,Serie_A
22,13,6,3,8,19,17,16,68.89,46.67,17,13,18,7,71.77,59.54,62.09,37.91,72.73,51.85,36,36,10,8,Serie_A
6,30,2,10,34,22,30,21,59.62,91.18,12,7,5,23,68.33,79.69,34.96,65.04,50,65.62,28,28,0,4,Serie_A
11,17,1,1,14,19,11,21,63.64,74.07,8,19,6,11,51.34,74.56,37.93,62.07,35.71,66.67,32,32,5,5,Serie_A
7,14,5,6,24,9,28,27,62,60.42,13,14,4,9,63.72,78,42.86,57.14,67.86,62.5,26,26,3,4,Serie_A
16,10,6,3,17,22,21,36,73.68,60.34,13,18,10,9,79.36,60.47,60.51,39.49,66.67,66.67,15,15,5,2,Serie_A
20,7,6,2,19,17,33,29,67.24,56.25,11,15,14,6,86.8,71.6,58.38,41.62,50,47.62,12,12,4,3,Serie_A
11,11,2,3,27,15,32,32,66.67,63.46,13,15,9,9,63.72,74.88,42.31,57.69,73.33,45.83,21,21,7,6,Serie_A
18,20,5,3,11,14,30,20,72.46,63.89,16,15,12,15,62.89,67.36,48.55,51.45,54.17,43.33,36,36,3,8,Serie_A
14,12,5,3,22,9,26,34,71.05,62.96,18,16,11,11,69.56,71.73,47.37,52.63,57.89,59.09,35,35,5,6,Serie_A
17,13,6,5,23,16,26,25,68.25,76.09,12,15,12,10,73.9,63.84,50.69,49.31,50,66.67,26,26,8,7,Serie_A
20,15,7,3,18,17,51,25,58.75,71.3,16,15,14,12,58.13,68.97,45.51,54.49,53.33,58.62,27,27,7,4,Serie_A
11,7,5,2,16,20,20,38,59.38,52.98,11,22,10,4,75.85,55.18,64.13,35.87,68.33,50,20,20,10,3,Serie_A
24,7,8,0,13,17,22,27,78.85,43.33,17,20,19,2,81.35,62.69,57.22,42.78,66.67,46.3,30,30,11,1,Serie_A
11,7,2,2,19,25,22,24,74.56,68.42,14,30,9,6,74.15,60.99,52.26,47.74,42.86,43.94,39,39,3,0,Serie_A
12,16,2,8,20,17,26,25,76.09,55.26,16,15,12,9,63.11,78.58,38.88,61.12,77.27,34.38,27,27,6,6,Serie_A
8,11,0,5,28,19,20,31,86.84,64,17,13,7,6,67.63,73.88,45.41,54.59,52.63,42.86,25,25,4,3,Serie_A
19,5,4,2,12,31,24,39,62.5,54.17,11,27,15,5,80.38,47.29,69.72,30.28,80.88,57.14,26,26,6,3,Serie_A
13,18,5,4,21,29,19,28,80.56,71.97,21,19,12,12,62.68,57.48,50.21,49.79,44.44,66.67,43,43,6,5,Serie_A
26,6,7,3,11,19,17,36,65.48,62.9,21,20,19,3,83.36,51.64,65.11,34.89,61.9,85.71,31,31,5,3,Serie_A
